class,motor_id,peak,trough,mean,RMS,Crest_Factor
0,1,0.54811,-0.7185,0.21479140625,0.2586864619769582,2.118819809166594
0,1,0.58649,-0.7185,0.214359609375,0.2604193179743369,2.252098671335111
0,1,0.58649,-0.64174,0.2162178515625,0.258146602082609,2.2719260887746198
0,1,0.58642,-0.71858,0.214351875,0.26041847794403433,2.2518371377856896
0,1,0.58642,-0.64181,0.21621613281250002,0.25814668701949406,2.271654177594448
0,1,0.6248,-0.64181,0.20967121093750002,0.25385876075355,2.4612111007922453
0,1,0.6248,-0.64181,0.2178993359375,0.2587009697334272,2.4151436333764487
0,1,0.6236,-0.64301,0.209513046875,0.2538324120913738,2.4567390541737373
0,1,0.6236,-0.64301,0.21784390625,0.25872683534141033,2.4102640886752664
0,1,0.6236,-0.52787,0.2177626171875,0.25822126502541987,2.414983134478144
0,1,0.50845,-0.64301,0.221142265625,0.260156737784828,1.9543987379659251
0,1,0.62367,-0.52779,0.217770234375,0.2582226760744736,2.4152410217456204
0,1,0.50853,-0.64294,0.22114570312499998,0.26015552048546364,1.954715391205448
0,1,0.54691,-0.60456,0.21912167968750002,0.2604802563647759,2.0996217050481882
0,1,0.58529,-0.75809,0.2140996484375,0.25840232268224317,2.2650338198381057
0,1,0.54665,-0.60482,0.21911210937500003,0.2604780591557809,2.09864125128893
0,1,0.58503,-0.75835,0.2140917578125,0.25840643674938835,2.2639915915383435
0,1,0.54665,-0.60482,0.22164703125000002,0.2635501677915777,2.0741781520408855
0,1,0.54665,-0.68158,0.2200165234375,0.2615595604277769,2.089963750917618
0,1,0.54552,-0.60594,0.22154960937499998,0.26353110517160727,2.0700402696097906
0,1,0.54552,-0.68271,0.21998949218749997,0.26157592330475365,2.08551304381494
0,1,0.54552,-0.68271,0.2163691796875,0.26010648826865723,2.0972948565456258
0,1,0.5839,-0.56756,0.21563871093749998,0.26055199529751377,2.2410114316463714
0,1,0.54605,-0.68218,0.2163894140625,0.26010859602214104,2.099315471886669
0,1,0.58443,-0.56704,0.215679609375,0.2605508428236104,2.2430554960655096
0,1,0.62281,-0.60542,0.22160878906249998,0.259706454782817,2.398130614507957
0,1,0.54605,-0.68218,0.21645714843750002,0.2577343343952681,2.1186544714006303
0,1,0.62326,-0.60497,0.22164085937499997,0.25970361430749284,2.39988958822133
0,1,0.5465,-0.68173,0.21647871093749999,0.25773589775391326,2.1203875935117087
0,1,0.58488,-0.64335,0.21228078125,0.25356323817522575,2.306643519025485
0,1,0.5465,-0.7585,0.2141586328125,0.25684635504747166,2.1277311873824063
0,1,0.58495,-0.64328,0.21228406249999998,0.25356294753164843,2.306922228560186
0,1,0.54657,-0.75842,0.2141609765625,0.25684673033996,2.128000614516544
0,1,0.58495,-0.68166,0.22068609374999998,0.2594928897915003,2.254204346292497
0,1,0.54657,-0.60489,0.2187853515625,0.26099764128409164,2.0941568564026505
0,1,0.5848,-0.68181,0.22068140625,0.259494016400487,2.253616511516997
0,1,0.54642,-0.60504,0.2187701171875,0.2609971241497751,2.0935862867455692
0,1,0.54642,-0.68181,0.2160796484375,0.2583371178105691,2.115143207569086
0,1,0.50804,-0.60504,0.2147628515625,0.25652343889237855,1.9804817922043465
0,1,0.5468,-0.68143,0.2161121484375,0.25833511369304185,2.116630574075644
0,1,0.50841,-0.60467,0.2147723828125,0.25652788224659295,1.9818898263514293
0,1,0.5468,-0.71982,0.21634539062500002,0.25432264784066616,2.150024799767623
0,1,0.58518,-0.60467,0.21618605468750002,0.25385219798896386,2.3051996580523624
0,1,0.54732,-0.71929,0.2163611328125,0.2543202923795418,2.152089378629654
0,1,0.5857,-0.60414,0.21623449218750002,0.2538510298991504,2.307258710877344
0,1,0.5857,-0.60414,0.21450753906249997,0.25472003995732134,2.2993872021146617
0,1,0.54732,-0.64253,0.210759296875,0.2580207850048737,2.1212244586794116
0,1,0.58518,-0.60467,0.21446308593750002,0.25471646280947735,2.297378008258942
0,1,0.5468,-0.64305,0.21071460937500003,0.25802331397206146,2.1191883461321908
0,1,0.50841,-0.68143,0.21821343750000002,0.2597177833937012,1.9575478943207791
0,1,0.5468,-0.64305,0.2162646484375,0.25735242595499636,2.124712825110962
0,1,0.50864,-0.68121,0.218228671875,0.2597173006276488,1.9584371113159935
0,1,0.54702,-0.64283,0.2162790234375,0.2573523872192016,2.1255680038983744
0,1,0.5854,-0.60444,0.22010203125,0.2618525059357724,2.2356096914481616
0,1,0.5854,-0.64283,0.21178257812499998,0.25576487708898527,2.288820914985636
0,1,0.58544,-0.60441,0.2201047265625,0.26185289866834704,2.23575909595523
0,1,0.58544,-0.64279,0.21178640625,0.25576497284799865,2.288976451626656
0,1,0.58544,-0.75794,0.2180817578125,0.26159002981093216,2.238005784941937
0,1,0.54706,-0.68117,0.21688203125,0.2592562215080383,2.110113295711356
0,1,0.58552,-0.75786,0.21808695312499998,0.26159053026927886,2.2383073247998357
0,1,0.54713,-0.6811,0.21688773437499997,0.25925585731088124,2.110386263496915
0,1,0.58552,-0.60433,0.21524125,0.25472488235471813,2.298636845318597
0,1,0.66228,-0.64271,0.223022890625,0.2645987841008652,2.502959347490949
0,1,0.58544,-0.60441,0.215235,0.25472449368754274,2.2983262878446573
0,1,0.66221,-0.64279,0.223022578125,0.2646004384828425,2.502679148216679
0,1,0.62382,-0.60441,0.214336953125,0.25867528722983474,2.4115948867033894
0,1,0.54706,-0.71955,0.21883171875000001,0.2634895733364629,2.076211187686854
0,1,0.62337,-0.60486,0.21429070312499998,0.2586705821162193,2.409899088253968
0,1,0.54661,-0.72,0.21879976562499998,0.2634928321353709,2.0744776833973844
0,1,0.58499,-0.68162,0.22179785156249998,0.26423979427799693,2.213860336965573
0,1,0.58499,-0.64324,0.21393410156249998,0.2534446284917637,2.3081570261766693
0,1,0.58507,-0.68155,0.2218041015625,0.2642413739316113,2.2141498558489285
0,1,0.58507,-0.64316,0.21393859375,0.25344483054287426,2.308470836618725
0,1,0.54668,-0.5664,0.2151258203125,0.2548747391190732,2.144896751594517
0,1,0.54668,-0.60478,0.2155148828125,0.2547634744021464,2.1458335080524957
0,1,0.54706,-0.56602,0.2151608203125,0.25487603198126657,2.1463767924643813
0,1,0.54706,-0.60441,0.2155293359375,0.25476217810455715,2.1473360138076725
0,1,0.58544,-0.68117,0.2187521484375,0.2590757061222344,2.2597255789154684
0,1,0.58544,-0.68117,0.21919816406249998,0.2607717621663806,2.2450283540534226
0,1,0.5857,-0.68091,0.21876019531250002,0.25907914659800996,2.2606991249233137
0,1,0.5857,-0.68091,0.2191984375,0.2607684837648139,2.2460536317273703
0,1,0.5857,-0.60414,0.21614515625,0.25899657625029526,2.2614198553496605
0,1,0.50894,-0.68091,0.2140403125,0.2549372244666322,1.9963345920344922
0,1,0.5854,-0.60444,0.2161283203125,0.2589917182955917,2.260303935015686
0,1,0.50864,-0.68121,0.2140282421875,0.2549417192766503,1.995122655653109
0,1,0.54702,-0.56606,0.21200800781249998,0.2575883826695764,2.1236206164689277
0,1,0.54702,-0.60444,0.2147790234375,0.25546019313574697,2.1413120897051985
0,1,0.54687,-0.56621,0.2119939453125,0.2575855888848828,2.12306131863767
0,1,0.54687,-0.60459,0.2147708203125,0.2554627462589641,2.1407035194307142
0,1,0.58525,-0.60459,0.2153729296875,0.25865127955460493,2.2626990324880474
0,1,0.58525,-0.68136,0.21425101562499999,0.2563894883201996,2.282659885295661
0,1,0.58484,-0.60501,0.2153630859375,0.2586482356247513,2.2611404968116235
0,1,0.58484,-0.68177,0.2142578125,0.25639351635200086,2.2810249195111365
0,1,0.54646,-0.60501,0.21002925781249998,0.2488412724156141,2.1960183481432445
0,1,0.58484,-0.64339,0.2181966796875,0.2597711385745694,2.251366349661346
0,1,0.54687,-0.60459,0.21004824218749998,0.24883757701827938,2.197698621538287
0,1,0.58525,-0.64298,0.21821921875,0.2597773882095976,2.2528904614584837
0,1,0.58525,-0.64298,0.21784265625000002,0.2628954265779932,2.2261703355511737
0,1,0.54687,-0.68136,0.215671484375,0.26034194528692695,2.1005835206358543
0,1,0.58683,-0.6414,0.217965625,0.26287439721162464,2.23235889924867
0,1,0.54845,-0.67978,0.2157333984375,0.2603607451623312,2.1065003468861994
0,1,0.54845,-0.67978,0.2207139453125,0.25944038669572655,2.113973105672348
0,1,0.51006,-0.71817,0.21451027343749998,0.2537844068414357,2.0098161520171134
0,1,0.54698,-0.68125,0.2207712109375,0.25944042120058003,2.1083067837648777
0,1,0.5086,-0.71963,0.21447640625,0.25380013380518784,2.0039390538319877
0,1,0.54698,-0.68125,0.21560167968750002,0.2596400088411176,2.106686109130105
0,1,0.58537,-0.75801,0.2162770703125,0.25879096790789113,2.2619413835506994
